5.6pF (3pF x 2),1,"C5 C39", 338-1097-ND, 2.00mm x 1.25mm **2 IN PARALLEL(3pf each)
26pF,2,"C18 C19", 338-1103-ND, 2.00mm x 1.25mm
82pF,1,"C46" 478-1479-1-ND, 3.20mm x 1.60mm
1nF,11,"C1 C2 C4 C7 C11 C12 C14 C15 C17 C20 C22", 720-1340-1-ND, 2.00mm x 1.25mm
1.5nF,1,"C13", 720-1344-1-ND, 2.00mm x 1.25mm
10nF,2,"C24 C25", BC1293CT-ND, 2.00mm x 1.25mm
33nF,1,"C16", 587-1126-1-ND, 1.25mm x 2.00mm **WIDE
0.47uF,1,"C9", 399-8097-1-ND, 3.20mm x 1.60mm
1uF,4,"C23 C50 C40 C41", 445-1592-1-ND, 3.20mm x 1.60mm
3uF,2,"C27 C28", 445-5716-1-ND, 3.20mm x 2.50mm
10uF, 1ohm ESR,1,"C30", 478-3317-6-ND, 3.20mm x 1.60mm
10uF,3,"C6 C31 C36 C45", 587-1312-1-ND, 2.00mm x 1.25mm
47uF,1,"C49" P13464-ND, THROUGH HOLE
100uF,1,C51, 493-1548-ND, THROUGH HOLE
150uF,2,"C26 C29", P12408-ND, THROUGH HOLE
OPEN,1,"C3", NOTHING
18Pf,1,"C21", 490-4887-1-ND, 2.00mm x 1.25mm
.1uF,8,"C6 C32 C33 C34 C35 C37 C38 C47 C48", 1276-1003-1-ND, 2.00mm x 1.25mm
22uF,1,"C52", P13542-ND, THROUGH HOLE
OPEN,11,"C42 C43 C44 L11 L13 L14 L15 L16 L17 L20", NEED NOTHING
1N5817,1,"D1", 1N5817DICT-ND, THROUGH HOLE: use 1mm diameter hole
15nH,1,"L5", AISC-0402-15NG-TCT-ND, 1.19mm x 0.64mm
19nH,1,"L6", 535-10441-1-ND, 1.19mm x 0.64mm
47nH,1,"L2", 490-6895-1-ND, 1.60mm x 0.80mm
68nH,1,"L4", 490-6904-1-ND, 1.60mm x 0.80mm 
150nH,1,"L9", 490-6923-1-ND, 1.60mm x 0.80mm
270nH,2,"L3", 490-6933-1-ND, 1.60mm x 0.80mm
10uH,1,"L21", 490-6601-1-ND, 3.20mm x 1.60mm
22uH,1,"L22", 490-6605-1-ND, 3.20mm x 1.60mm
FERRITE BEAD,1,"L10", 490-1006-1-ND, 1.00mm x 0.50mm
BLM15BA100SN1D,1,"L12", 490-5180-1-ND, 1.00mm x 0.50mm
F Type,1,"P1", ACX1467-ND, THROUGH HOLE
SAW,1,"P2", IN POSSESSION
DC JACK,1,"P4", CP-037A-ND
BNC,1,"P10", IN POSSESSION
CONNECTOR,2,"P3 P5", FEMALE CONN, IN POSSESSION
CONN_6,2,"P6 P9", MALE CONN6, IN POSSESSION
CONN_1,2,"P7 P8", MALE CONN1, IN POSSESSION
LT1086,1,"Q1", IN POSSESSION
UA78L05,1,"Q2", IN POSSESSION
500,4,"R7 R8 R11 R12", 541-15.0FCT-ND, 3.20mm x 1.60mm
560,1,"R2", P560CCT-ND, 2.00mm x 1.25mm
10K,5,"R5 R6 R9 R10 R13", P10.0KFCT-ND, 3.20mm x 1.60mm
20K,1,"R14", P20.0KFCT-ND, 3.20mm x 1.60mm
50/OPEN,2,"R1 R15", P49.9FCT-ND, 3.20mm x 1.60mm
OPEN / 360,1,"R3", P360ACT-ND, 2.00mm x 1.25mm
100/OPEN,1,"R4", P100FCT-ND, 3.20mm x 1.60mm
120/SHORT,2,"R16 R17", P120FCT-ND, 3.20mm x 1.60mm
3 OHM: RL16R3.0FCT-ND, 3.20mm x 1.60mm
25 OHM: RMCF1206FT24R9CT-ND, 3.20mm x 1.60mm
TRANSFO4,2,"T1", 553-1501-ND
MAX3543,1,"U1", IN POSSESSION
AD8138,1,"U2", IN POSSESSION
TPS7301,1,"U3", IN POSSESSION
AD9235,1,"U4", IN POSSESSION
TPS6735,1,"U8", 296-10982-5-ND
FMC_LPC,1,"U5", IN TRANSIT
74VHC541FT,2,"U6 U7", 74VHC541FT(BE)CT-ND
CRYSTAL,1,"X1", 887-1251-ND

**OPTIONAL FILTER**
LPF:
2x 112nH Inductors: 490-6919-1-ND, 1.60mm x 0.80mm
2x 45pF Capacitors: 399-10050-1-ND, 1.60mm x 0.80mm
